business_type,message_template
"AC repair service","Hi {{name}}, we appreciate you choosing {{business_name}} for your repair. A short review from you helps others trust our service: {{link}}"
"Appliance repair service","Hi {{name}}, we appreciate you choosing {{business_name}} for your repair. A short review from you helps others trust our service: {{link}}"
"Bakery","Hi {{name}}, thank you for dining with us at {{business_name}}. We’d really appreciate if you could share how your food and experience were: {{link}}"
"Beauty parlour","Hi {{name}}, it was lovely having you at {{business_name}}. Your review helps others find us—could you rate your visit? {{link}}"
"Bike service centre","Hi {{name}}, thank you for getting your vehicle serviced at {{business_name}}. Please tell us how we did by leaving a quick review: {{link}}"
"Building material shop","Hi {{name}}, thank you for purchasing from {{business_name}}. Your review helps contractors and homeowners trust our products—could you share your experience? {{link}}"
"CA office","Hi {{name}}, thank you for choosing {{business_name}} for your professional services. We’d really value your feedback on your experience with us: {{link}}"
"Café","Hi {{name}}, thank you for dining with us at {{business_name}}. We’d really appreciate if you could share how your food and experience were: {{link}}"
"Car service centre","Hi {{name}}, thank you for getting your vehicle serviced at {{business_name}}. Please tell us how we did by leaving a quick review: {{link}}"
"Clinic inside hospital","Hi {{name}}, thank you for visiting {{business_name}}. We’d appreciate it if you could share your experience with our team: {{link}}"
"Coaching centre","Hi {{name}}, thanks for choosing {{business_name}} for your learning journey. Please share your experience so far—it really helps parents and students like you: {{link}}"
"Computer repair service","Hi {{name}}, we appreciate you choosing {{business_name}} for your repair. A short review from you helps others trust our service: {{link}}"
"Consultancy firm","Hi {{name}}, thank you for choosing {{business_name}} for your professional services. We’d really value your feedback on your experience with us: {{link}}"
"Dental clinic","Hi {{name}}, thank you for trusting {{business_name}} with your health. Please take a moment to share your experience with our care: {{link}}"
"Diagnostic lab","Hi {{name}}, thank you for trusting {{business_name}} with your health. Please take a moment to share your experience with our care: {{link}}"
"Electronics retail shop","Hi {{name}}, thank you for shopping at {{business_name}}. Could you spare a moment to review your purchase and experience with us? {{link}}"
"Event planner","Hi {{name}}, it was a pleasure capturing your moments with {{business_name}}. Please tell us how we did by leaving a quick review: {{link}}"
"Eye clinic","Hi {{name}}, thank you for trusting {{business_name}} with your health. Please take a moment to share your experience with our care: {{link}}"
"Fashion retail shop","Hi {{name}}, thank you for shopping at {{business_name}}. Could you spare a moment to review your purchase and experience with us? {{link}}"
"Fitness centre","Hi {{name}}, thank you for working out with us at {{business_name}}. A quick review from you would really motivate our team and new members: {{link}}"
"Furniture retail shop","Hi {{name}}, thank you for shopping at {{business_name}}. Could you spare a moment to review your purchase and experience with us? {{link}}"
"Garage","Hi {{name}}, thank you for getting your vehicle serviced at {{business_name}}. Please tell us how we did by leaving a quick review: {{link}}"
"General medical clinic","Hi {{name}}, we appreciate your visit to {{business_name}}. Your feedback helps us treat patients better—would you mind rating your experience? {{link}}"
"Guest house","Hi {{name}}, thank you for staying with us at {{business_name}}. We’d love to know how your stay was—please leave us a quick review: {{link}}"
"Gym","Hi {{name}}, thank you for working out with us at {{business_name}}. A quick review from you would really motivate our team and new members: {{link}}"
"Hardware shop","Hi {{name}}, thank you for purchasing from {{business_name}}. Your review helps contractors and homeowners trust our products—could you share your experience? {{link}}"
"Homestay","Hi {{name}}, thank you for staying with us at {{business_name}}. We’d love to know how your stay was—please leave us a quick review: {{link}}"
"Hotel","Hi {{name}}, thank you for staying with us at {{business_name}}. We’d love to know how your stay was—please leave us a quick review: {{link}}"
"Legal firm","Hi {{name}}, thank you for choosing {{business_name}} for your professional services. We’d really value your feedback on your experience with us: {{link}}"
"Medical store","Hi {{name}}, thank you for visiting {{business_name}}. Please take a moment to rate your experience with our service and staff: {{link}}"
"Mobile repair service","Hi {{name}}, we appreciate you choosing {{business_name}} for your repair. A short review from you helps others trust our service: {{link}}"
"Mobile retail shop","Hi {{name}}, thank you for shopping at {{business_name}}. Could you spare a moment to review your purchase and experience with us? {{link}}"
"Other","Hi {{name}}, thank you for choosing {{business_name}}. We’d really appreciate if you could take a moment to share your experience with us: {{link}}"
"Pet grooming","Hi {{name}}, thank you for visiting {{business_name}} with your pet. Please share how your experience was—it helps other pet parents find us: {{link}}"
"Pet shop","Hi {{name}}, thank you for visiting {{business_name}} with your pet. Please share how your experience was—it helps other pet parents find us: {{link}}"
"Pharmacy","Hi {{name}}, thank you for visiting {{business_name}}. Please take a moment to rate your experience with our service and staff: {{link}}"
"Photocopy centre","Hi {{name}}, thank you for choosing {{business_name}} for your printing/stationery needs. A short review from you would be very helpful: {{link}}"
"Photographer","Hi {{name}}, it was a pleasure capturing your moments with {{business_name}}. Please tell us how we did by leaving a quick review: {{link}}"
"Physiotherapy clinic","Hi {{name}}, we appreciate your visit to {{business_name}}. Your feedback helps us treat patients better—would you mind rating your experience? {{link}}"
"Printing press","Hi {{name}}, thank you for choosing {{business_name}} for your printing/stationery needs. A short review from you would be very helpful: {{link}}"
